cpt_code,cpt_name
00072,COLD THERAPY WRAP MEDIUM
00073,COLD THERAPY WRAP LARGE
00074,COLD THERAPY WRAP XL
00075,CONVEN LASIK INTRALASE SP MULTI
00076,BLEPHAROPLASTY UPPER EYELID
00077,BLEPHAROPLASTY LOWER EYELID
0007T,PERC CATH STENT/BRAIN CV ART
0007U,CHG RX TEST PRESUMPTIVE URINE W/DEF CONFIRMATION
00080,"LASIK, CUSTOM GUIDED-PER EYE"
00081,"LASIK, CUSTOM-PER EYE"
00082,"LASIK, CONVEN W/INTRA-PER EYE"
00083,"LASIK, CUSTOM W/INTRA-PER EYE"
00084,"PRK, CUSTOM GUIDED-PER EYE"
00085,"PRK, CUSTOM-PER EYE"
00086,SPEECH THERAPY 15 MINUTES
00087,SPEECH THERAPY 45 MINUTES
00088,SPEECH THERAPY 60 MINUTES
00089,SPEECH THERAPY 75 MINUTES
0008T,"PR UP GI ENDOSCOP, W/SUTURE ESOPHAGOGAS JCT"
0008U,CHG HPYLORI DETECTION & ANTIBIOTIC RESISTANCE DNA
00090,SPEECH/HEARING EVAL 60 MINUTES
00099,SYNVISC-ONE INJ
0009T,ENDOMETRIAL CRYOABLATION
0009U,CHG ONC BRST CA ERBB2 COPY NUMBER FISH AMP/NONAMP
00100,"ANESTH, SALIVARY GLAND"
00101,APEX BUNION SHIELD
00102,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTH, BLEPHAROPLASTY"
00104,"ANESTH, ELECTROSHOCK"
00106,HAPAD HORSESHOE PAD
00108,C E FERULIC - SKINCEUTICALS
0010T,"PR TB TEST, CELL MED IMM, GAMMA INTERFER AG"
0010U,CHG NFCT DS STRN TYP WHL GENOME SEQUENCING PR ISOL
00116,ORAL FUNCTION THERAPY 45 MIN
00117,ORAL FUNCTION THERAPY 60 MIN
0011A,HB ADM SARSCOV2 100MCG/0.5ML1ST DOSE MODERNA
0011U,CHG RX MNTR DRUGS PRESENT LC-MS/MS ORAL FLUID PR DOS
00120,"ANESTH, EAR SURGERY"
00121,OTO CT: NON BILLABLE
00124,"ANESTH, EAR EXAM"
00125,AMIODARONE FOLLOW-UP PANEL
00126,"ANESTH, TYMPANOTOMY"
00127,"ORTHOWEDGE HEALING SHOE, EA"
0012A,HB ADM SARSCOV2 100MCG/0.5ML 2ND DOSE MODERNA
0012F,BACT COMMUNITY-ACQUIRED PNEUMONIA ASSESSMENT
0012T,OSTEOCHONDRAL KNEE AUTOGRAFT
0012U,CHG GERMLN DO GENE REARGMT DETCJ DNA WHOLE BLOOD
00130,TOE SHIELD
00134,CAST SUPPLIES HAND
00135,CAST SUPPLIES ELBOW
00136,CAST SUPPLIES SHOULDER
00137,"CAST SUPPLIES LONG "
00138,CAST SUPPLIES CYLINDER
00139,CAST SUPPLIES SHORT
0013T,OSTEOCHONDRAL KNEE ALLOGRAFT
0013U,CHG ONC SLD ORGN NEO GENE REARGMT DNA FRSH FRZN TISS
00140,"ANESTH, PROCEDURES ON EYE"
00142,"ANESTH, LENS SURGERY"
00144,"ANESTH, CORNEAL TRANSPLANT"
00145,"ANESTH, VITREORETINAL SURG"
00147,"ANESTH, IRIDECTOMY"
00148,ACHILLES RISE KIT
0014F,COMP PREOP ASSESS CAT SURG
0014T,"MENISCAL TRANSPLANT, KNEE"
0014U,CHG HEM HMTLMF NEO GENE REARGMT DNA WHL BLD/MARROW
0015F,MELAN FOLLOW-UP COMPLETE
0015U,CHG RX METAB ADVRS RX RXN DNA 22 GENES BLD/BUCCAL
00160,"ANESTH, NOSE/SINUS SURGERY"
00162,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTH, BIOPSY OF NOSE"
0016T,"DESTR LOC LES, CHOROIDS, TRANSPUP THERM"
0016U,CHG ONC HMTLMF NEO RNA BCR/ABL1 BLD/BNE MARROW
00170,"ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTH, PHARYNGEAL SURGERY"
0017T,"DESTR, MACULAR DRUSEN, PHOTOCOAGULATION"
0017U,CHG ONC HMTLMF NEO JAK2 MUTATION DNA BLD/BNE MARROW
0018T,"PR DELIV FOC MAG PUL, DR STIM, CORT NEURONS"
0018U,CHG ONC THYR 10 MICRORNA SEQ +/- RSLT MOD HI RSK MAL
00190,"ANESTH, FACE/SKULL BONE SURG"
00192,"ANESTH, FACIAL BONE SURGERY"
0019T,EXTRACORP SHOCK WAVE THER; MUSCSKEL SYS
0019U,CHG ONC RNA WHL TRANSCIPTOME SEQ TISS PREDCT ALG
0020T,"EXTRACORP SHOCK WAVE TX, FT"
0020U,CHG RX TEST PRESUMPTIVE URINE W/DEF CONFIRMATION
00210,"ANESTH, OPEN HEAD SURGERY"
00211,"ANESTH, CRAN SURG, HEMOTOMA"
00212,"ANESTH, SKULL DRAINAGE"
00214,"ANESTH, SKULL DRAINAGE"
00215,"ANESTH, SKULL REPAIR/FRACT"
00216,"ANESTH, HEAD VESSEL SURGERY"
00218,"ANESTH, SPECIAL HEAD SURGERY"
0021A,HB ADM SARSCOV2 5X1010VP/.5ML 1ST DOSE ASTRAZENECA
0021T,"FETAL OXIMETRY, TRNSVAG/CERV"
0021U,CHG ONC PRST8 DETCJ 8 AUTOANTIBODIES ALG RSK SCOR
00220,"ANESTH, SPINAL FLUID SHUNT"
00222,"ANESTH, HEAD NERVE SURGERY"
0022A,HB ADM SARSCOV2 5X1010VP/.5ML 2ND DOSE ASTRAZENECA
0022U,CHG TRGT GEN SEQ ALYS NONSM LNG NEO DNA&RNA 23 GENES
0023T,"PHENOTYPE DRUG TEST, HIV 1"
0023U,CHG ONC AML DNA GNTYP INT TANDEM DUP DETCJ/NONDETCJ
0024T,"NON-SUR SEPT RED W/COR ARTER, W/WO PACER"
0024U,CHG GLYCA NUC MR SPECTROSCOPY QUANTITATIVE
0025T,ULTRASONIC PACHYMETRY
0025U,CHG TENOFOVIR LIQ CHROM TANDEM MASS SPECT UR QUAN
0026T,"LIPOPROTEIN, DIR MEAS IDL (REMNANT)"
0026U,CHG ONC THYR DNA&MRNA 112 GENES FNA NDUL ALG ALYS
0027T,"ENDOSC LYSIS EPIDUR ADHES, SOLN INJ/MECH"
0027U,CHG JAK2 GENE ANALYSIS TRGT SEQ ALYS EXONS 12-15
00280,AMINOPHYLLINE UP TO 250 MG
0028T,"DUAL ENERGY X-RAY ABSORPT, 1+ SITES"
0028U,CHG CYP2D6 GENE CPY NMR CMN VRNT
0029T,MAGNETIC TX FOR INCONTINENCE
0029U,CHG RX METAB ADVRS RX RXN & RSPSE TRGT SEQ ALYS
00300,"ANESTH, HEAD/NECK/PTRUNK"
0030T,"ANTIPROTHROMBIN AB, EA IG CLASS"
0030U,CHG RX METAB WARFARIN RX RESPONSE TRGT SEQ ALYS
0031A,HB ADM SARSCOV2 VAC AD26 .5ML 1 DOSE JOHNSON AND JOHNSON (JANSSEN)
0031T,PR SPECULOSCOPY
0031U,CHG CYP1A2 GENE ANALYSIS COMMON VARIANTS
00320,"ANESTH, NECK ORGAN SURGERY"
00322,"ANESTH, BIOPSY OF THYROID"
00326,"ANESTH, LARYNX/TRACH, < 1 YR"
0032T,PR SPECULOSCOPY; W/DIRECTED SAMPLING
0032U,CHG COMT GENE ANALYSIS C.472G>A VARIANT
0033T,ENDOVASC TAA REPR INCL SUBCL
0033U,CHG HTR2A HTR2C GENE ANALYSIS COMMON VARIANTS
0034T,ENDOVASC TAA REPR W/O SUBCL
0034U,CHG TPMT NUDT15 GENE ANALYSIS COMMON VARIANTS
00350,"ANESTH, NECK VESSEL SURGERY"
00352,"ANESTH, NECK VESSEL SURGERY"
0035T,"INSERT ENDOVASC PROSTH, TAA"
0035U,CHG NEURO CSF DETCJ PRION PRTN QUAKG CONF CONV QUAL
0036T,"ENDOVASC PROSTH, TAA, ADD-ON"
0036U,CHG EXOME TUMOR TISSUE & NORMAL SPECIMEN SEQ ALYS
0037T,ARTERY TRANSPOSE/ENDOVAS TAA
0037U,CHG TRGT GEN SEQ ALYS SLD ORGN NEO DNA 324 GENES
00384,"PREV VISIT,NEW AGE 12-17 REDUCE FEE 99384"
00385,"PN1 PREV VISIT,NEW 18-39 REDUCE FEE  99385"
00386,"PN2 PREV VISIT,NEW 40-64 REDUCE FEE 99386"
00387,"PN3-PREV VISIT NEW, 65+ REDUCE FEE 99387"
0038T,PR ENDO REP DES TAA/DIS W/ L SUBCL RAD S&I
0038U,CHG VITAMIN D SERUM MICROSAMPLE QUANTITATIVE
00394,"PREV VISIT,EST,AGE 12-17 REDUCE FEE 99394"
00395,"PE1-PREV. VISIT, EST,18-39 REDUCE FEE 99395"
00396,"PE2 PREV VISIT,EST, 40-64 REDUCE FEE 99396"
00397,"PE3 PREV CHECKUP,EST, 65+ REDUCE FEE 99397"
0039T,PR ENDO REP DES TAA/DIS W/O L SUBCL RAD S&I
0039U,CHG DNA ANTIBODY DOUBLE STRANDED HIGH AVIDITY
00400,"ANESTH, SKIN, EXT/PER/ATRUNK"
00402,"ANESTH, SURGERY OF BREAST"
00404,"ANESTH, SURGERY OF BREAST"
00406,"ANESTH, SURGERY OF BREAST"
0040T,"PR PLACE EXT PROS, DES THOR AA/DIS, RAD S&I"
0040U,CHG BCR/ABL1 GENE TLCJ ALYS MAJOR BP QUANTITATIVE
00410,"ANESTH, CORRECT HEART RHYTHM"
0041T,DETECT UR INFECT AGNT W/CPAS
0041U,CHG B BURGDORFERI ANTB 5 PRTN GRP IMMUNOBLOT IGM
00420,ANESTHESIA FOR BACK SKIN SURGERY
0042T,CT BRAIN PERFUSION W/WO DYE
0042U,CHG B BURGDORFERI ANTB 12 PRTN GRP IMMUNOBLOT IGG
0043T,"CARBON MONOXIDE, EXPIRED GAS ANALYSIS"
0043U,CHG TBRF B GRP ANTB DETCJ 4 RECOMB PRTN IMUNOBLT IGM
0044T,"PR WHOLE BODY SKIN PHOTO, PHYS REQUEST"
0044U,CHG TBRF B GRP ANTB DETCJ 4 RECOMB PRTN IMUNOBLT IGG
00450,"ANESTH, SURGERY OF SHOULDER"
00452,"ANESTH, SURGERY OF SHOULDER"
00454,"ANESTH, COLLAR BONE BIOPSY"
0045T,PR WHOLE BODY PHOTOGRAPHY
0045U,CHG ONC BRST DUX CARC IS MRNA 12 GENES ALG RSK SCOR
00460,ATROPINE UP TO 0.3 MG
0046T,"CATH LAVAGE, MAMMARY DUCT(S"
0046U,CHG FLT3 GENE INT TANDEM DUPL VARIANTS QUANTITATIVE
00470,"ANESTH, REMOVAL OF RIB"
00471,FLU VACCINE ADMINISTRATION (NMFF)
00472,"ANESTH, CHEST WALL REPAIR"
00474,"ANESTH, SURGERY OF RIB(S)"
0047T,"CATH LAVAGE, MAMMARY DUCT(S)"
0047U,CHG ONC PRST8 MRNA GEN XPRS PRFL 17 GEN ALG RSK SCOR
0048T,IMPLANT VENTRICULAR DEVICE
0048U,CHG ONC SLD ORG NEO DNA 468 CANCER ASSOCIATED GENES
00490,MACUGEN 0.3MG INTROVITREAL INJ
0049T,EXTERNAL CIRCULATION ASSIST
0049U,CHG NPM1 GENE ANALYSIS QUANTITATIVE
00500,"ANESTH, ESOPHAGEAL SURGERY"
0050T,PR REMOVAL CIRCULATION ASSIST
0050U,CHG TRGT GEN SEQ ALYS AML 194 GENE INTERROG SEQ VRNT
0051T,IMPLANT TOTAL HEART SYSTEM
0051U,CHG RX MNTR DRUGS PRESENT LC-MS/MS UR 31 DRUG PANEL
00520,"ANESTH, CHEST PROCEDURE"
00522,"ANESTH, CHEST LINING BIOPSY"
00524,"ANESTH, CHEST DRAINAGE"
00528,"ANESTH, CHEST PARTITION VIEW"
00529,"ANESTH, CHEST PARTITION VIEW"
0052T,"PR REPLACE/ REPAIR COMPONENT ARTIFICAL HEART, THORACIC"
0052U,CHG LPOPRTN BLD W/5 MAJ CLASS AUTO PRFL UCENTRFUGTN
00530,"ANESTH, PACEMAKER INSERTION"
00532,"ANESTH, VASCULAR ACCESS"
00534,"ANESTH, CARDIOVERTER/DEFIB"
00537,"ANESTH, CARDIAC ELECTROPHYS"
00539,"ANESTH, TRACH-BRONCH RECONST"
0053T,"PR REPLACE/ REPAIR COMPONENT ARTIFICAL HEART, EXCEPT THORACIC"
0053U,CHG ONC PRST8 CA FISH ALYS 4 GENES NDL BX SPEC ALG
00540,"ANESTH, CHEST SURGERY"
00541,"ANESTH, ONE LUNG VENTILATION"
00542,"ANESTH, RELEASE OF LUNG"
00544,"ANESTH, CHEST LINING REMOVAL"
00546,"ANESTH, LUNG,CHEST WALL SURG"
00548,"ANESTH, TRACHEA,BRONCHI SURG"
0054T,BONE SURGERY USING COMPUTER
0054U,CHG RX MNTR 14+ CLASS DRUGS & SBSTS CAPILLARY BLOOD
00550,"ANESTH, STERNAL DEBRIDEMENT"
0055T,+BONE SURGERY USING COMPUTER
0055U,CHG CARD HRT TRNSPL 96 TARGET DNA SEQUENCES PLASMA
00560,"ANESTH, OPEN HEART SURGERY"
00561,"ANESTH, HEART SURG < AGE 1"
00562,"ANESTH, OPEN HEART SURGERY"
00563,"ANESTH, HEART PROC W/PUMP"
00566,"ANESTH, CABG W/O PUMP"
00567,"ANESTH, CABG W/PUMP"
0056T,"BONE SURGERY USING COMPUTER ASSIST, IMAGE LESS"
0056U,CHG HEM AML DNA GENE REARRANGEMENT BLOOD/BONE MARROW
0057U,CHG ONC SLD ORG NEO MRNA 51 GENES ALG NML % RANK
00580,ANESTH HEART/LUNG TRANSPLANT
00585,BOTOX 1ST 50 UNITS
0058T,CRYOPR REP TISSUE OVARIAN
0058U,CHG ONC MERKEL CELL CARC DETCJ ANTB SERUM QUAN
0059T,OOCYTE PRESERVATION
0059U,CHG ONC MERKEL CELL CARC DETCJ ANTB SERUM REPRTD +/-
00600,"ANESTH, SPINE, CORD SURGERY"
00604,"ANESTH, SITTING PROCEDURE"
0060T,ELECTRICAL IMPEDANCE SCAN
0060U,CHG TWN ZYG GEN TRGT SEQ ALYS CHRMS2 FTL DNA MAT BLD
0061T,"DESTRUCTION OF TUMOR, BREAST"
0061U,CHG TC MEAS 5 BIOMARKERS W/SFDI MULTI-SPECTRAL ALYS
00620,"ANESTH, SPINE, CORD SURGERY"
00622,"ANESTH, REMOVAL OF NERVES"
00625,ANES SPINE TRANTHOR W/O VENT
00626,"ANES, SPINE TRANSTHOR W/VENT"
0062T,"PERC ANNULOPLASTY, 1 LEVEL"
0062U,CHG AI SLE IGG & IGM ALYS 80 BMRK SRM ALG RSK SCORE
00630,"ANESTH, SPINE, CORD SURGERY"
00632,"ANESTH, REMOVAL OF NERVES"
00634,ANESTH FOR CHEMONUCLEOLYSIS
00635,"ANESTH, LUMBAR PUNCTURE"
0063T,"PERC ANNULOPLASTY, >1 LEVEL"
0063U,CHG NEURO AUTISM 32 AMINES PLSM ALG METAB SIGNATURE
00640,"ANESTH, SPINE MANIPULATION"
0064T,PR SPECTROSCOP EVAL EXPIRED GAS
0064U,CHG ANTIBODY TREPONEMA PALLIDUM TOTAL & RPR IA QUAL
0065T,OCULAR PHOTOSCREEN BILAT
0065U,CHG SYPHILIS TST NON-TREPONEMAL ANTIBODY IA QUAL RPR
00663,-H1N1 INFLUENZA VAC (NMFF) INJ
0066T,CT COLONOGRAPHY;SCREEN
0066U,CHG PAMG-1 IA W/DIR OPT OBS CERVICO-VAG FLU EA SPEC
00670,"ANESTH, SPINE, CORD SURGERY"
0067T,CT COLONOGRAPHY;DX
0067U,CHG ONC BRST IMHCHEM PRTN XPRS PRFL 4 BMRK CA PRTN
0068T,ACOUS HRT SOUND REC&CPTR ALYS W/I&R
0068U,CHG CANDIDA SPECIES PANEL AMP PRB TQ W/QUAL REPORT
00690,CEFAZOLIN 500 MG
00696,ROCEPHIN 125 MG INJ
0069T,ACOUS HRT SOUND REC&CPTR ALYS ACOUS HRT SOUND
0069U,CHG ONC CLRCT MICRORNA XPRS PRFL MIR-31-3P ALG
00700,"ANESTH, ABDOMINAL WALL SURG"
00702,"ANESTH, FOR LIVER BIOPSY"
00703,DERMABRASION SINGLES/SUBSQ VIS
0070T,ACOUS HRT SOUND REC&CPTR ALYS I&R ONLY
0070U,CHG CYP2D6 GENE ANALYSIS COMMON & SELECT RARE VRNTS
00715,ROCEPHIN 500 MG
0071T,PR U/S LEIOMYOMATA ABLATE <200 CC
0071U,CHG CYP2D6 GENE ANALYSIS FULL GENE SEQUENCE
0072T,PR U/S LEIOMYOMATA ABLATE >200 CC
0072U,CHG CYP2D6 GENE TRGT SEQ ALYS CYP2D6-2D7 HYBRID GENE
00730,"ANESTH, ABDOMINAL WALL SURG"
00731,PR ANESTHESIA UPPER GI ENDOSCOPIC PX NOS
00732,PR ANESTHESIA UPPER GI ENDOSCOPIC PX ERCP
0073T,"DELIVERY, COMP IMRT"
0073U,CHG CYP2D6 GENE TRGT SEQ ALYS CYP2D7-2D6 HYBRID GENE
00740,"ANESTH, UPPER GI VISUALIZE"
0074T,ONLINE PHYSICIAN E/M
0074U,CHG CYP2D6 TRGT SEQ ALYS NONDUP GENE DUPL/MLT TRANS
00750,"ANESTH, REPAIR OF HERNIA"
00752,"ANESTH, REPAIR OF HERNIA"
00754,"ANESTH, REPAIR OF HERNIA"
00756,"ANESTH, REPAIR OF HERNIA"
0075T,PERQ STENT/CHEST VERT ART
0075U,CHG CYP2D6 GENE TRGT SEQ ALYS 5' GENE DUPL/MLT
0076T,IR VERT STENT EA ADD
0076U,CHG CYP2D6 GENE TRGT SEQ ALYS 3' GENE DUPL/MLT
00770,"ANESTH, BLOOD VESSEL REPAIR"
0077T,CEREB THERM PERFUSION PROBE
0077U,CHG IG PARAPROTEIN QUAL IMPRCIP&MS BLD/UR W/ISOTYPE
00780,COMPAZINE 10 MG
0078T,ENDOVASC AORT REPR W/DEVICE
0078U,CHG PAIN MGT OPIOID USE DO GNOTYP PNL 16 CMN VRNTS
00790,"ANESTH, SURG UPPER ABDOMEN"
00792,"ANESTH, HEMORR/EXCISE LIVER"
00794,"ANESTH, PANCREAS REMOVAL"
00796,"ANESTH, FOR LIVER TRANSPLANT"
00797,"ANESTH, SURGERY FOR OBESITY"
0079T,ENDOVASC VISC EXTNSN REPR
0079U,CHG CMPRTV DNA ALYS MLT SNPS UR&BUCCAL SPEC ID VERIF
00800,"ANESTH, ABDOMINAL WALL SURG"
00802,"ANESTH, FAT LAYER REMOVAL"
00806,COSMETIC MOLE REMOVAL SHAVE EXCISION
0080T,ENDOVASC AORT REPR RAD S&I
0080U,CHG ONC LUNG 5 CLINICAL RISK FACTORS ALG PRBLTY MAL
00810,"ANESTH, LOW INTESTINE SCOPE"
00811,PR ANESTHESIA LOWER INTST ENDOSCOPIC PX NOS
00812,PR ANESTHESIA LOWER INTST ENDOSCOPIC PX SCR COLSC
00813,PR ANESTHESIA COMBINED UPPER&LOWER GI ENDOSCOPIC PX
0081T,ENDOVASC VISC EXTNSN S&I
00820,"ANESTH, ABDOMINAL WALL SURG"
0082T,PR STEREOTACTIC RAD TX DELIVERY
0082U,CHG RX TST DEF 90+ RX/SBSTS UR REPRT PRES/ABS EA RX
00830,"ANESTH, REPAIR OF HERNIA"
00832,"ANESTH, REPAIR OF HERNIA"
00834,"ANESTH, HERNIA REPAIR< 1 YR"
00835,COSYNTROPIN PER 0.25 MG
00836,ANESTH HERNIA REPAIR PREEMIE
0083T,PR STEREOTACTIC RAD TX MNGMT
0083U,CHG ONC RSPSE CHEMOTX RX MOTILITY CNTRST TOMOGRAPHY
00840,"ANESTH, SURG LOWER ABDOMEN"
00842,"ANESTH, AMNIOCENTESIS"
00844,"ANESTH, PELVIS SURGERY"
00846,"ANESTH, HYSTERECTOMY"
00848,"ANESTH, PELVIC ORGAN SURG"
0084T,PR TEMP PROSTATE URETHRAL STENT
0084U,CHG RBC DNA GNOTYP 10 BLD GRP PHNT PREDICT 37 RBC AG
00850,"ANESTH, CESAREAN SECTION"
00851,"ANESTH, TUBAL LIGATION"
00855,"ANESTH, HYSTERECTOMY"
00857,"ANALGESIA, LABOR & C-SECTION"
0085T,BREATH TEST HEART REJECT
0085U,CHG CDTB & VINCULIN IGG ANTIBODIES BY IMMUNOASSAY
00860,"ANESTH, SURGERY OF ABDOMEN"
00862,"ANESTH, KIDNEY/URETER SURG"
00864,"ANESTH, REMOVAL OF BLADDER"
00865,"ANESTH, REMOVAL OF PROSTATE"
00866,"ANESTH, REMOVAL OF ADRENAL"
00868,"ANESTH, KIDNEY TRANSPLANT"
0086T,L VENTRICLE FILL PRESSURE
0086U,CHG NFCT DS BACT&FNG ORG ID BLD CUL RRNA FISH 6+TRGT
00870,"ANESTH, BLADDER STONE SURG"
00872,ANESTH KIDNEY STONE DESTRUCT
00873,ANESTH KIDNEY STONE DESTRUCT
0087T,PR SPERM EVAL HYALURONAN BINDING TEST
0087U,CHG CARD HRT TRNSPL MRNA GEN XPRS PRFL 1283 GENE ALG
00880,"ANESTH, ABDOMEN VESSEL SURG"
00882,"ANESTH, MAJOR VEIN LIGATION"
00884,"ANESTH, MAJOR VEIN REVISION"
0088T,PR RF TONGUE BASE VOL REDUXN
0088U,CHG TRNSPLJ MED KDN ALGRFT REJ 1494 GENES ALG
0089T,"ACTIGRAPHY TESTING, 3-DAY"
0089U,CHG ONC MLNMA GEN XPRS PRFL RTQPCR PRAME & LINC00518
00900,ANESTHESIA FOR PERINEAL PROCEDURE
00902,"ANESTH, ANORECTAL SURGERY"
00904,"ANESTH, PERINEAL SURGERY"
00906,"ANESTH, REMOVAL OF VULVA"
00908,"ANESTH, REMOVAL OF PROSTATE"
0090T,"CERVICAL ARTHOPLASTY/ ARTIFIC DISC, SINGLE"
0090U,CHG ONC CUTAN MLNMA MRNA GEN XPRS PRFL 23 GENES ALG
00910,"ANESTH, BLADDER SURGERY"
00912,"ANESTH, BLADDER TUMOR SURG"
00914,"ANESTH, REMOVAL OF PROSTATE"
00916,"ANESTH, BLEEDING CONTROL"
00918,"ANESTH, STONE REMOVAL"
0091T,LUMBAR ARTIFIC DISC
0091U,CHG ONC CLRCT SCR CLL ENUM CRCG TUM CLL WHL BLD ALG
00920,"ANESTH, GENITALIA SURGERY"
00921,"ANESTH, VASECTOMY"
00922,"ANESTH, SPERM DUCT SURGERY"
00924,"ANESTH, TESTIS EXPLORATION"
00926,"ANESTH, REMOVAL OF TESTIS"
00928,"ANESTH, REMOVAL OF TESTIS"
0092T,ARTIFIC DISC ADDL
0092U,CHG ONC LUNG 3 PRTN BMRK IA PLSM ALG RSK SCOR MALIG
00930,"ANESTH, TESTIS SUSPENSION"
00932,"ANESTH, AMPUTATION OF PENIS"
00934,"ANESTH, PENIS, NODES REMOVAL"
00936,"ANESTH, PENIS, NODES REMOVAL"
00938,"ANESTH, INSERT PENIS DEVICE"
0093T,CERVICAL ARTIFIC DISKECTOMY
0093U,CHG RX MNTR 65 COM DRUGS LC-MS/MS UR DETC/NOT DETC
00940,"ANESTH, VAGINAL PROCEDURES"
00942,"ANESTH, SURG ON VAG/URETHAL"
00944,"ANESTH, VAGINAL HYSTERECTOMY"
00946,"ANESTH, VAGINAL DELIVERY"
00948,"ANESTH, REPAIR OF CERVIX"
0094T,LUMBAR ARTIFIC DISKECTOMY
0094U,CHG GENOME RAPID SEQUENCE ANALYSIS
00950,"ANESTH, VAGINAL ENDOSCOPY"
00952,"ANESTH, HYSTEROSCOPE/GRAPH"
00955,"ANALGESIA, VAGINAL DELIVERY"
0095T,ARTIFIC DISKECTOMY ADDL
0095U,CHG INFLAMMATION EE ELISA ALYS ALG PREDICT PROB IDX
0096T,"PR REVISE TOTAL DISC ARTHROPLASTY,CERVICAL, SINGLE"
0096U,CHG HPV HIGH RISK TYPES MALE URINE
00970,DUPLEX SCAN BILATERAL COMPLETE
0097T,"PR REVISE TOTAL DISC ARTHROPLASTY, LUMBAR, SINGLE"
0097U,"CB GASTROINTESTINAL PATHOGENS, MULITPLEX, 22 TARGETS"
0098T,CERVICAL ANTERIOR ARTHROPLASTY TOTAL DISC REVISION
0098U,CHG RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 14 TRGT
0099T,IMPLANT CORNEAL RING
0099U,CHG RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 20 TRGT
01000,ANESTHESIA FOR PELVIS SKIN SURGERY
0100T,"PR PROSTH RETINA RECEIVER &GENR, IO ARRAY"
0100U,CHG RESPIR PTHGN MULT REV TRANS&AMP PRB TECH 21 TRGT
0101T,"EXTRACORP SHOCKWV TX, MUSC/SKEL, HIGH ENERGY"
0101U,CHG HERED COLON CA DO GEN SEQ ALYS PANEL 15 GENES
01020,METHYLPREDNISOLONE INJ 120 MG
0102T,"EXTRACORP SHOCKWV TX,ANESTH"
0102U,CHG HERED BRST CA RLTD DO GEN SEQ ALYS PNL 17 GENES
0103T,HOLOTRANSCOBALAMIN
0103U,CHG HERED OVARIAN CANCER GEN SEQ ALYS PANEL 24 GENES
01040,DEPO-MEDROL 80 MG
0104T,AT REST CARDIO GAS REBREATHE
